benchmark;instance;repetition;params
interval-batched;generateRandom-1000d-b10-cpu;100;{"operation": "generateRandom", "dim": 1000, "device": "cpu", "batch_size": 10}
interval-batched;generateRandom-1000d-b10-gpu;100;{"operation": "generateRandom", "dim": 1000, "device": "gpu", "batch_size": 10}
interval-batched;generateRandom-1000d-b100-cpu;100;{"operation": "generateRandom", "dim": 1000, "device": "cpu", "batch_size": 100}
interval-batched;generateRandom-1000d-b100-gpu;100;{"operation": "generateRandom", "dim": 1000, "device": "gpu", "batch_size": 100}
interval-batched;matMul-1d-b10-cpu;100;{"operation": "matMul", "dim": 1, "device": "cpu", "batch_size": 10}
interval-batched;matMul-1d-b10-gpu;100;{"operation": "matMul", "dim": 1, "device": "gpu", "batch_size": 10}
interval-batched;matMul-1d-b100-cpu;100;{"operation": "matMul", "dim": 1, "device": "cpu", "batch_size": 100}
interval-batched;matMul-1d-b100-gpu;100;{"operation": "matMul", "dim": 1, "device": "gpu", "batch_size": 100}
interval-batched;matMul-2d-b10-cpu;100;{"operation": "matMul", "dim": 2, "device": "cpu", "batch_size": 10}
interval-batched;matMul-2d-b10-gpu;100;{"operation": "matMul", "dim": 2, "device": "gpu", "batch_size": 10}
interval-batched;matMul-2d-b100-cpu;100;{"operation": "matMul", "dim": 2, "device": "cpu", "batch_size": 100}
interval-batched;matMul-2d-b100-gpu;100;{"operation": "matMul", "dim": 2, "device": "gpu", "batch_size": 100}
interval-batched;matMul-5d-b10-cpu;100;{"operation": "matMul", "dim": 5, "device": "cpu", "batch_size": 10}
interval-batched;matMul-5d-b10-gpu;100;{"operation": "matMul", "dim": 5, "device": "gpu", "batch_size": 10}
interval-batched;matMul-5d-b100-cpu;100;{"operation": "matMul", "dim": 5, "device": "cpu", "batch_size": 100}
interval-batched;matMul-5d-b100-gpu;100;{"operation": "matMul", "dim": 5, "device": "gpu", "batch_size": 100}
interval-batched;matMul-10d-b10-cpu;100;{"operation": "matMul", "dim": 10, "device": "cpu", "batch_size": 10}
interval-batched;matMul-10d-b10-gpu;100;{"operation": "matMul", "dim": 10, "device": "gpu", "batch_size": 10}
interval-batched;matMul-10d-b100-cpu;100;{"operation": "matMul", "dim": 10, "device": "cpu", "batch_size": 100}
interval-batched;matMul-10d-b100-gpu;100;{"operation": "matMul", "dim": 10, "device": "gpu", "batch_size": 100}
interval-batched;matMul-50d-b10-cpu;100;{"operation": "matMul", "dim": 50, "device": "cpu", "batch_size": 10}
interval-batched;matMul-50d-b10-gpu;100;{"operation": "matMul", "dim": 50, "device": "gpu", "batch_size": 10}
interval-batched;matMul-50d-b100-cpu;100;{"operation": "matMul", "dim": 50, "device": "cpu", "batch_size": 100}
interval-batched;matMul-50d-b100-gpu;100;{"operation": "matMul", "dim": 50, "device": "gpu", "batch_size": 100}
interval-batched;matMul-100d-b10-cpu;100;{"operation": "matMul", "dim": 100, "device": "cpu", "batch_size": 10}
interval-batched;matMul-100d-b10-gpu;100;{"operation": "matMul", "dim": 100, "device": "gpu", "batch_size": 10}
interval-batched;matMul-100d-b100-cpu;100;{"operation": "matMul", "dim": 100, "device": "cpu", "batch_size": 100}
interval-batched;matMul-100d-b100-gpu;100;{"operation": "matMul", "dim": 100, "device": "gpu", "batch_size": 100}
interval-batched;matMul-500d-b10-cpu;100;{"operation": "matMul", "dim": 500, "device": "cpu", "batch_size": 10}
interval-batched;matMul-500d-b10-gpu;100;{"operation": "matMul", "dim": 500, "device": "gpu", "batch_size": 10}
interval-batched;matMul-500d-b100-cpu;100;{"operation": "matMul", "dim": 500, "device": "cpu", "batch_size": 100}
interval-batched;matMul-500d-b100-gpu;100;{"operation": "matMul", "dim": 500, "device": "gpu", "batch_size": 100}
interval-batched;matMul-1000d-b10-cpu;100;{"operation": "matMul", "dim": 1000, "device": "cpu", "batch_size": 10}
interval-batched;matMul-1000d-b10-gpu;100;{"operation": "matMul", "dim": 1000, "device": "gpu", "batch_size": 10}
interval-batched;matMul-1000d-b100-cpu;100;{"operation": "matMul", "dim": 1000, "device": "cpu", "batch_size": 100}
interval-batched;matMul-1000d-b100-gpu;100;{"operation": "matMul", "dim": 1000, "device": "gpu", "batch_size": 100}
interval-batched;minkSum-1d-b10-cpu;100;{"operation": "minkSum", "dim": 1, "device": "cpu", "batch_size": 10}
interval-batched;minkSum-1d-b10-gpu;100;{"operation": "minkSum", "dim": 1, "device": "gpu", "batch_size": 10}
interval-batched;minkSum-1d-b100-cpu;100;{"operation": "minkSum", "dim": 1, "device": "cpu", "batch_size": 100}
interval-batched;minkSum-1d-b100-gpu;100;{"operation": "minkSum", "dim": 1, "device": "gpu", "batch_size": 100}
interval-batched;minkSum-2d-b10-cpu;100;{"operation": "minkSum", "dim": 2, "device": "cpu", "batch_size": 10}
interval-batched;minkSum-2d-b10-gpu;100;{"operation": "minkSum", "dim": 2, "device": "gpu", "batch_size": 10}
interval-batched;minkSum-2d-b100-cpu;100;{"operation": "minkSum", "dim": 2, "device": "cpu", "batch_size": 100}
interval-batched;minkSum-2d-b100-gpu;100;{"operation": "minkSum", "dim": 2, "device": "gpu", "batch_size": 100}
interval-batched;minkSum-5d-b10-cpu;100;{"operation": "minkSum", "dim": 5, "device": "cpu", "batch_size": 10}
interval-batched;minkSum-5d-b10-gpu;100;{"operation": "minkSum", "dim": 5, "device": "gpu", "batch_size": 10}
interval-batched;minkSum-5d-b100-cpu;100;{"operation": "minkSum", "dim": 5, "device": "cpu", "batch_size": 100}
interval-batched;minkSum-5d-b100-gpu;100;{"operation": "minkSum", "dim": 5, "device": "gpu", "batch_size": 100}
interval-batched;minkSum-10d-b10-cpu;100;{"operation": "minkSum", "dim": 10, "device": "cpu", "batch_size": 10}
interval-batched;minkSum-10d-b10-gpu;100;{"operation": "minkSum", "dim": 10, "device": "gpu", "batch_size": 10}
interval-batched;minkSum-10d-b100-cpu;100;{"operation": "minkSum", "dim": 10, "device": "cpu", "batch_size": 100}
interval-batched;minkSum-10d-b100-gpu;100;{"operation": "minkSum", "dim": 10, "device": "gpu", "batch_size": 100}
interval-batched;minkSum-50d-b10-cpu;100;{"operation": "minkSum", "dim": 50, "device": "cpu", "batch_size": 10}
interval-batched;minkSum-50d-b10-gpu;100;{"operation": "minkSum", "dim": 50, "device": "gpu", "batch_size": 10}
interval-batched;minkSum-50d-b100-cpu;100;{"operation": "minkSum", "dim": 50, "device": "cpu", "batch_size": 100}
interval-batched;minkSum-50d-b100-gpu;100;{"operation": "minkSum", "dim": 50, "device": "gpu", "batch_size": 100}
interval-batched;minkSum-100d-b10-cpu;100;{"operation": "minkSum", "dim": 100, "device": "cpu", "batch_size": 10}
interval-batched;minkSum-100d-b10-gpu;100;{"operation": "minkSum", "dim": 100, "device": "gpu", "batch_size": 10}
interval-batched;minkSum-100d-b100-cpu;100;{"operation": "minkSum", "dim": 100, "device": "cpu", "batch_size": 100}
interval-batched;minkSum-100d-b100-gpu;100;{"operation": "minkSum", "dim": 100, "device": "gpu", "batch_size": 100}
interval-batched;minkSum-500d-b10-cpu;100;{"operation": "minkSum", "dim": 500, "device": "cpu", "batch_size": 10}
interval-batched;minkSum-500d-b10-gpu;100;{"operation": "minkSum", "dim": 500, "device": "gpu", "batch_size": 10}
interval-batched;minkSum-500d-b100-cpu;100;{"operation": "minkSum", "dim": 500, "device": "cpu", "batch_size": 100}
interval-batched;minkSum-500d-b100-gpu;100;{"operation": "minkSum", "dim": 500, "device": "gpu", "batch_size": 100}
interval-batched;minkSum-1000d-b10-cpu;100;{"operation": "minkSum", "dim": 1000, "device": "cpu", "batch_size": 10}
interval-batched;minkSum-1000d-b10-gpu;100;{"operation": "minkSum", "dim": 1000, "device": "gpu", "batch_size": 10}
interval-batched;minkSum-1000d-b100-cpu;100;{"operation": "minkSum", "dim": 1000, "device": "cpu", "batch_size": 100}
interval-batched;minkSum-1000d-b100-gpu;100;{"operation": "minkSum", "dim": 1000, "device": "gpu", "batch_size": 100}
interval-batched;convHull-1d-b10-cpu;100;{"operation": "convHull", "dim": 1, "device": "cpu", "batch_size": 10}
interval-batched;convHull-1d-b10-gpu;100;{"operation": "convHull", "dim": 1, "device": "gpu", "batch_size": 10}
interval-batched;convHull-1d-b100-cpu;100;{"operation": "convHull", "dim": 1, "device": "cpu", "batch_size": 100}
interval-batched;convHull-1d-b100-gpu;100;{"operation": "convHull", "dim": 1, "device": "gpu", "batch_size": 100}
interval-batched;convHull-2d-b10-cpu;100;{"operation": "convHull", "dim": 2, "device": "cpu", "batch_size": 10}
interval-batched;convHull-2d-b10-gpu;100;{"operation": "convHull", "dim": 2, "device": "gpu", "batch_size": 10}
interval-batched;convHull-2d-b100-cpu;100;{"operation": "convHull", "dim": 2, "device": "cpu", "batch_size": 100}
interval-batched;convHull-2d-b100-gpu;100;{"operation": "convHull", "dim": 2, "device": "gpu", "batch_size": 100}
interval-batched;convHull-5d-b10-cpu;100;{"operation": "convHull", "dim": 5, "device": "cpu", "batch_size": 10}
interval-batched;convHull-5d-b10-gpu;100;{"operation": "convHull", "dim": 5, "device": "gpu", "batch_size": 10}
interval-batched;convHull-5d-b100-cpu;100;{"operation": "convHull", "dim": 5, "device": "cpu", "batch_size": 100}
interval-batched;convHull-5d-b100-gpu;100;{"operation": "convHull", "dim": 5, "device": "gpu", "batch_size": 100}
interval-batched;convHull-10d-b10-cpu;100;{"operation": "convHull", "dim": 10, "device": "cpu", "batch_size": 10}
interval-batched;convHull-10d-b10-gpu;100;{"operation": "convHull", "dim": 10, "device": "gpu", "batch_size": 10}
interval-batched;convHull-10d-b100-cpu;100;{"operation": "convHull", "dim": 10, "device": "cpu", "batch_size": 100}
interval-batched;convHull-10d-b100-gpu;100;{"operation": "convHull", "dim": 10, "device": "gpu", "batch_size": 100}
interval-batched;convHull-50d-b10-cpu;100;{"operation": "convHull", "dim": 50, "device": "cpu", "batch_size": 10}
interval-batched;convHull-50d-b10-gpu;100;{"operation": "convHull", "dim": 50, "device": "gpu", "batch_size": 10}
interval-batched;convHull-50d-b100-cpu;100;{"operation": "convHull", "dim": 50, "device": "cpu", "batch_size": 100}
interval-batched;convHull-50d-b100-gpu;100;{"operation": "convHull", "dim": 50, "device": "gpu", "batch_size": 100}
interval-batched;convHull-100d-b10-cpu;100;{"operation": "convHull", "dim": 100, "device": "cpu", "batch_size": 10}
interval-batched;convHull-100d-b10-gpu;100;{"operation": "convHull", "dim": 100, "device": "gpu", "batch_size": 10}
interval-batched;convHull-100d-b100-cpu;100;{"operation": "convHull", "dim": 100, "device": "cpu", "batch_size": 100}
interval-batched;convHull-100d-b100-gpu;100;{"operation": "convHull", "dim": 100, "device": "gpu", "batch_size": 100}
interval-batched;convHull-500d-b10-cpu;100;{"operation": "convHull", "dim": 500, "device": "cpu", "batch_size": 10}
interval-batched;convHull-500d-b10-gpu;100;{"operation": "convHull", "dim": 500, "device": "gpu", "batch_size": 10}
interval-batched;convHull-500d-b100-cpu;100;{"operation": "convHull", "dim": 500, "device": "cpu", "batch_size": 100}
interval-batched;convHull-500d-b100-gpu;100;{"operation": "convHull", "dim": 500, "device": "gpu", "batch_size": 100}
interval-batched;convHull-1000d-b10-cpu;100;{"operation": "convHull", "dim": 1000, "device": "cpu", "batch_size": 10}
interval-batched;convHull-1000d-b10-gpu;100;{"operation": "convHull", "dim": 1000, "device": "gpu", "batch_size": 10}
interval-batched;convHull-1000d-b100-cpu;100;{"operation": "convHull", "dim": 1000, "device": "cpu", "batch_size": 100}
interval-batched;convHull-1000d-b100-gpu;100;{"operation": "convHull", "dim": 1000, "device": "gpu", "batch_size": 100}
zonotope;generateRandom-1d-cpu;100;{"operation": "generateRandom", "dim": 1, "device": "cpu"}
zonotope;generateRandom-1d-gpu;100;{"operation": "generateRandom", "dim": 1, "device": "gpu"}
zonotope;generateRandom-2d-cpu;100;{"operation": "generateRandom", "dim": 2, "device": "cpu"}
zonotope;generateRandom-2d-gpu;100;{"operation": "generateRandom", "dim": 2, "device": "gpu"}
zonotope;generateRandom-5d-cpu;100;{"operation": "generateRandom", "dim": 5, "device": "cpu"}
zonotope;generateRandom-5d-gpu;100;{"operation": "generateRandom", "dim": 5, "device": "gpu"}
zonotope;generateRandom-10d-cpu;100;{"operation": "generateRandom", "dim": 10, "device": "cpu"}
zonotope;generateRandom-10d-gpu;100;{"operation": "generateRandom", "dim": 10, "device": "gpu"}
zonotope;generateRandom-50d-cpu;100;{"operation": "generateRandom", "dim": 50, "device": "cpu"}
zonotope;generateRandom-50d-gpu;100;{"operation": "generateRandom", "dim": 50, "device": "gpu"}
zonotope;generateRandom-100d-cpu;100;{"operation": "generateRandom", "dim": 100, "device": "cpu"}
zonotope;generateRandom-100d-gpu;100;{"operation": "generateRandom", "dim": 100, "device": "gpu"}
zonotope;generateRandom-500d-cpu;100;{"operation": "generateRandom", "dim": 500, "device": "cpu"}
zonotope;generateRandom-500d-gpu;100;{"operation": "generateRandom", "dim": 500, "device": "gpu"}
zonotope;generateRandom-1000d-cpu;100;{"operation": "generateRandom", "dim": 1000, "device": "cpu"}
zonotope;generateRandom-1000d-gpu;100;{"operation": "generateRandom", "dim": 1000, "device": "gpu"}
zonotope;matMul-1d-cpu;100;{"operation": "matMul", "dim": 1, "device": "cpu"}
zonotope;matMul-1d-gpu;100;{"operation": "matMul", "dim": 1, "device": "gpu"}
zonotope;matMul-2d-cpu;100;{"operation": "matMul", "dim": 2, "device": "cpu"}
zonotope;matMul-2d-gpu;100;{"operation": "matMul", "dim": 2, "device": "gpu"}
zonotope;matMul-5d-cpu;100;{"operation": "matMul", "dim": 5, "device": "cpu"}
zonotope;matMul-5d-gpu;100;{"operation": "matMul", "dim": 5, "device": "gpu"}
zonotope;matMul-10d-cpu;100;{"operation": "matMul", "dim": 10, "device": "cpu"}
zonotope;matMul-10d-gpu;100;{"operation": "matMul", "dim": 10, "device": "gpu"}
zonotope;matMul-50d-cpu;100;{"operation": "matMul", "dim": 50, "device": "cpu"}
zonotope;matMul-50d-gpu;100;{"operation": "matMul", "dim": 50, "device": "gpu"}
zonotope;matMul-100d-cpu;100;{"operation": "matMul", "dim": 100, "device": "cpu"}
zonotope;matMul-100d-gpu;100;{"operation": "matMul", "dim": 100, "device": "gpu"}
zonotope;matMul-500d-cpu;100;{"operation": "matMul", "dim": 500, "device": "cpu"}
zonotope;matMul-500d-gpu;100;{"operation": "matMul", "dim": 500, "device": "gpu"}
zonotope;matMul-1000d-cpu;100;{"operation": "matMul", "dim": 1000, "device": "cpu"}
zonotope;matMul-1000d-gpu;100;{"operation": "matMul", "dim": 1000, "device": "gpu"}
zonotope;minkSum-1d-cpu;100;{"operation": "minkSum", "dim": 1, "device": "cpu"}
zonotope;minkSum-1d-gpu;100;{"operation": "minkSum", "dim": 1, "device": "gpu"}
zonotope;minkSum-2d-cpu;100;{"operation": "minkSum", "dim": 2, "device": "cpu"}
zonotope;minkSum-2d-gpu;100;{"operation": "minkSum", "dim": 2, "device": "gpu"}
zonotope;minkSum-5d-cpu;100;{"operation": "minkSum", "dim": 5, "device": "cpu"}
zonotope;minkSum-5d-gpu;100;{"operation": "minkSum", "dim": 5, "device": "gpu"}
zonotope;minkSum-10d-cpu;100;{"operation": "minkSum", "dim": 10, "device": "cpu"}
zonotope;minkSum-10d-gpu;100;{"operation": "minkSum", "dim": 10, "device": "gpu"}
zonotope;minkSum-50d-cpu;100;{"operation": "minkSum", "dim": 50, "device": "cpu"}
zonotope;minkSum-50d-gpu;100;{"operation": "minkSum", "dim": 50, "device": "gpu"}
zonotope;minkSum-100d-cpu;100;{"operation": "minkSum", "dim": 100, "device": "cpu"}
zonotope;minkSum-100d-gpu;100;{"operation": "minkSum", "dim": 100, "device": "gpu"}
zonotope;minkSum-500d-cpu;100;{"operation": "minkSum", "dim": 500, "device": "cpu"}
zonotope;minkSum-500d-gpu;100;{"operation": "minkSum", "dim": 500, "device": "gpu"}
zonotope;minkSum-1000d-cpu;100;{"operation": "minkSum", "dim": 1000, "device": "cpu"}
zonotope;minkSum-1000d-gpu;100;{"operation": "minkSum", "dim": 1000, "device": "gpu"}
zonotope;convHull-1d-cpu;100;{"operation": "convHull", "dim": 1, "device": "cpu"}
zonotope;convHull-1d-gpu;100;{"operation": "convHull", "dim": 1, "device": "gpu"}
zonotope;convHull-2d-cpu;100;{"operation": "convHull", "dim": 2, "device": "cpu"}
zonotope;convHull-2d-gpu;100;{"operation": "convHull", "dim": 2, "device": "gpu"}
zonotope;convHull-5d-cpu;100;{"operation": "convHull", "dim": 5, "device": "cpu"}
zonotope;convHull-5d-gpu;100;{"operation": "convHull", "dim": 5, "device": "gpu"}
zonotope;convHull-10d-cpu;100;{"operation": "convHull", "dim": 10, "device": "cpu"}
zonotope;convHull-10d-gpu;100;{"operation": "convHull", "dim": 10, "device": "gpu"}
zonotope;convHull-50d-cpu;100;{"operation": "convHull", "dim": 50, "device": "cpu"}
zonotope;convHull-50d-gpu;100;{"operation": "convHull", "dim": 50, "device": "gpu"}
zonotope;convHull-100d-cpu;100;{"operation": "convHull", "dim": 100, "device": "cpu"}
zonotope;convHull-100d-gpu;100;{"operation": "convHull", "dim": 100, "device": "gpu"}
zonotope;convHull-500d-cpu;100;{"operation": "convHull", "dim": 500, "device": "cpu"}
zonotope;convHull-500d-gpu;100;{"operation": "convHull", "dim": 500, "device": "gpu"}
zonotope;convHull-1000d-cpu;100;{"operation": "convHull", "dim": 1000, "device": "cpu"}
zonotope;convHull-1000d-gpu;100;{"operation": "convHull", "dim": 1000, "device": "gpu"}
zonotope-batched;generateRandom-1d-b10-cpu;100;{"operation": "generateRandom", "dim": 1, "device": "cpu", "batch_size": 10}
zonotope-batched;generateRandom-1d-b10-gpu;100;{"operation": "generateRandom", "dim": 1, "device": "gpu", "batch_size": 10}
zonotope-batched;generateRandom-1d-b100-cpu;100;{"operation": "generateRandom", "dim": 1, "device": "cpu", "batch_size": 100}
zonotope-batched;generateRandom-1d-b100-gpu;100;{"operation": "generateRandom", "dim": 1, "device": "gpu", "batch_size": 100}
zonotope-batched;generateRandom-2d-b10-cpu;100;{"operation": "generateRandom", "dim": 2, "device": "cpu", "batch_size": 10}
zonotope-batched;generateRandom-2d-b10-gpu;100;{"operation": "generateRandom", "dim": 2, "device": "gpu", "batch_size": 10}
zonotope-batched;generateRandom-2d-b100-cpu;100;{"operation": "generateRandom", "dim": 2, "device": "cpu", "batch_size": 100}
zonotope-batched;generateRandom-2d-b100-gpu;100;{"operation": "generateRandom", "dim": 2, "device": "gpu", "batch_size": 100}
